"city,State",percentHouseholdsWithIntAcc,numberHouseholdsW/oIntAcc
"Centennial, Colorado",96,"1,530"
"Cary, North Carolina",95.5,"2,568"
"Irvine, California",95.3,"3,944"
"Frisco, Texas",94.7,"2,416"
"Bellevue, Washington",93.6,"3,363"
"Gilbert, Arizona",93.4,"4,733"
"Boulder, Colorado",92.7,"3,080"
"Pearland, Texas",92.6,"2,595"
"Plano, Texas",92.3,"8,184"
"Scottsdale, Arizona",92.1,"7,900"
"College Station, Texas",92,"2,785"
"Coral Springs, Florida",92,"3,231"
"Surprise, Arizona",92,"3,835"
"Sunnyvale, California",92,"4,507"
"Lewisville, Texas",91.6,"3,086"
"Round Rock, Texas",91.6,"3,122"
"Arlington, Virginia",91.5,"8,452"
"Fort Collins, Colorado",91.4,"4,957"
"Naperville, Illinois",91.3,"4,329"
"Torrance, California",91.2,"5,010"
"Olathe, Kansas",91.1,"4,033"
"Chandler, Arizona",91,"7,640"
"The Woodlands, Texas",90.9,"3,299"
"West Jordan, Utah",90.8,"2,892"
"Berkeley, California",90.8,"4,222"
"Carlsbad, California",90.8,"4,002"
"Ann Arbor, Michigan",90.8,"4,279"
"Fremont, California",90.7,"6,935"
"Costa Mesa, California",90.6,"3,762"
"Santa Clara, California",90.5,"4,094"
"Elk Grove, California",90.1,"4,830"
"San Mateo, California",90,"3,858"
"Murrieta, California",89.9,"3,369"
"Rancho Cucamonga, California",89.8,"5,553"
"Overland Park, Kansas",89.6,"7,771"
"Virginia Beach, Virginia",89.5,"17,375"
"Temecula, California",89.5,"3,347"
"Miramar, Florida",89.5,"3,975"
"Thousand Oaks, California",89.3,"5,012"
"Santa Clarita, California",89.3,"6,438"
"Rochester, Minnesota",89,"4,796"
"Huntington Beach, California",88.9,"8,246"
"Alexandria, Virginia",88.8,"7,340"
"Pembroke Pines, Florida",88.7,"6,148"
"Fullerton, California",88.6,"5,056"
"Thornton, Colorado",88.4,"4,890"
"San Jose, California",88.4,"36,361"
"Arvada, Colorado",88.4,"5,063"
"Tempe, Arizona",88.4,"7,400"
"Cape Coral, Florida",88.2,"6,742"
"Broken Arrow, Oklahoma",88,"4,488"
"San Diego, California",88,"57,625"
"Provo, Utah",88,"3,782"
"Seattle, Washington",87.8,"36,435"
"Burbank, California",87.7,"5,240"
"Roseville, California",87.7,"5,639"
"Richardson, Texas",87.5,"4,781"
"Corona, California",87.5,"6,024"
"Orange, California",87.5,"5,265"
"Denton, Texas",87.3,"5,540"
"Columbia, Missouri",87.3,"5,926"
"Eugene, Oregon",87.3,"8,290"
"Anchorage municipality, Alaska",87.2,"13,279"
"Madison, Wisconsin",87.1,"13,910"
"Cambridge, Massachusetts",87,"5,623"
"Colorado Springs, Colorado",86.8,"22,362"
"Santa Rosa, California",86.8,"8,612"
"Port St. Lucie, Florida",86.7,"7,619"
"Henderson, Nevada",86.5,"14,181"
"McKinney, Texas",86.5,"6,559"
"West Covina, California",86.2,"4,237"
"Norman, Oklahoma",86.1,"6,232"
"Westminster, Colorado",86.1,"5,796"
"Tallahassee, Florida",85.9,"10,622"
"Simi Valley, California",85.8,"6,107"
"Fontana, California",85.7,"6,718"
"Raleigh, North Carolina",85.6,"24,552"
"San Buenaventura, California",85.5,"6,078"
"North Las Vegas, Nevada",85.4,"9,748"
"Elgin, Illinois",85.3,"4,882"
"Concord, California",85.2,"6,716"
"Portland, Oregon",85.2,"37,348"
"Austin, Texas",85.1,"51,895"
"San Francisco, California",85.1,"52,995"
"West Valley City, Utah",85.1,"5,431"
"Durham, North Carolina",85,"14,911"
"Garland, Texas",84.9,"11,805"
"Fargo, North Dakota",84.8,"7,547"
"Sterling Heights, Michigan",84.7,"7,542"
"Riverside, California",84.6,"13,818"
"Killeen, Texas",84.6,"6,718"
"Daly City, California",84.6,"4,958"
"Carrollton, Texas",84.4,"7,197"
"Palm Bay, Florida",84.4,"5,966"
"Fairfield, California",84.4,"5,335"
"Aurora, Colorado",84.4,"19,460"
"Peoria, Arizona",84.2,"9,420"
"Boise City, Idaho",84.1,"13,978"
"Midland, Texas",84,"6,923"
"Antioch, California",83.9,"5,496"
"Aurora, Illinois",83.9,"9,989"
"Chesapeake, Virginia",83.8,"12,945"
"Chula Vista, California",83.6,"12,579"
"El Cajon, California",83.6,"5,348"
